VIN (1-10),State,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,2020 Census Tract
50EA1DCA4N,WA,2022,LUCID,AIR,BEV,False,0,53033031906
3C3CFFGE7K,WA,2019,FIAT,500,BEV,True,84,53033020301
1N4AZ1BP0L,WA,2020,NISSAN,LEAF,BEV,True,149,53009000800
YV4H60DE9P,WA,2023,VOLVO,XC60,PHEV,True,35,53033027400
JTMFB3FV7P,WA,2023,TOYOTA,RAV4 PRIME,PHEV,True,42,53035090700
KNDCD3LDXL,WA,2020,KIA,NIRO,PHEV,False,26,53067011628
KNDC44LA2N,WA,2022,KIA,EV6,BEV,False,0,53033032332
YSMFD3KA7R,WA,2024,POLESTAR,PS2,BEV,False,0,53037975101
50EA1DCA8N,WA,2022,LUCID,AIR,BEV,False,0,53033006300
5YJSA1E47K,WA,2019,TESLA,MODEL S,BEV,True,270,53063004300
WA1LABGE8K,WA,2019,AUDI,E-TRON,BEV,True,204,53061041301
YV4BK0DPXL,WA,2020,VOLVO,XC60,PHEV,False,19,53057940201
1G1RH6E4XE,WA,2014,CHEVROLET,VOLT,PHEV,True,38,53061053801
1G1RC6E4XE,WA,2014,CHEVROLET,VOLT,PHEV,True,38,53047970303
WP0AE2A70J,WA,2018,PORSCHE,PANAMERA,PHEV,False,16,53011040603
WMEFJ9BA0J,WA,2018,SMART,EQ FORTWO,BEV,True,58,53033001701
YV4H60DP8N,WA,2022,VOLVO,XC60,PHEV,True,35,53011040604
WA12ABGE4M,WA,2021,AUDI,E-TRON SPORTBACK,BEV,False,0,53063012401
SADHD2S10K,WA,2019,JAGUAR,I-PACE,BEV,True,234,53033007502
KMHCX5LD5N,CT,2022,HYUNDAI,IONIQ,PHEV,False,29,9011705101
JTJHKCFZ9R,WA,2024,LEXUS,NX,PHEV,True,37,53033032220
3MW5P9J04M,WA,2021,BMW,330E,PHEV,False,20,53009000600
WMZ23BS07P,WA,2023,MINI,COUNTRYMAN,PHEV,False,17,53071920301
WAUEJBFW9P,WA,2023,AUDI,E-TRON GT,BEV,False,0,53029971100
W1KCG4EB3N,WA,2022,MERCEDES-BENZ,EQS-CLASS SEDAN,BEV,False,0,53061051937
1FADP3R41H,WA,2017,FORD,FOCUS,BEV,True,100,53053060300
KNDCD3LD6L,WA,2020,KIA,NIRO,PHEV,False,26,53033032401
JTJKKCFZ3P,WA,2023,LEXUS,NX,PHEV,True,37,53033030404
5LMYJ9YY3N,WA,2022,LINCOLN,AVIATOR,PHEV,False,21,53011040811
WBY8P6C54K,WA,2019,BMW,I3,BEV,True,153,53033001701
WA1VABGE3N,WA,2022,AUDI,E-TRON,BEV,False,0,53053072310
KL8CK6S01G,WA,2016,CHEVROLET,SPARK,BEV,True,82,53033032319
KNDCC3LD2K,WA,2019,KIA,NIRO,PHEV,False,26,53067010520
YV4H60DA3P,WA,2023,VOLVO,XC60,PHEV,True,35,53067011902
5YJXCAE48H,WA,2017,TESLA,MODEL X,BEV,True,200,53061052708
KNDCC3LD0M,WA,2021,KIA,NIRO,PHEV,False,26,53033029004
5YJSA1DNXC,WA,2012,TESLA,MODEL S,BEV,True,265,53053071306
LREKK5RX4H,WA,2017,CADILLAC,CT6,PHEV,True,31,53067012224
1GYKPTRK3R,WA,2024,CADILLAC,LYRIQ,BEV,False,0,53035092101
KNDJP3AE1J,WA,2018,KIA,SOUL EV,BEV,True,111,53033020600
SALGS4RY0M,WA,2021,LAND ROVER,RANGE ROVER,PHEV,False,19,53033032402
1G1RG6E49C,WA,2012,CHEVROLET,VOLT,PHEV,True,35,53027000600
YSMFD3KA6R,WA,2024,POLESTAR,PS2,BEV,False,0,53061051937
WA1M2BFZ0P,WA,2023,AUDI,Q4,BEV,False,0,53033020800
WMEEJ9AABE,WA,2014,SMART,FORTWO ELECTRIC DRIVE,BEV,True,58,53033023401
KM8KN4AE4N,WA,2022,HYUNDAI,IONIQ 5,BEV,False,0,53073000101
1G1FW6S06K,WA,2019,CHEVROLET,BOLT EV,BEV,True,238,53005010818
YV4H60DZ3N,WA,2022,VOLVO,XC60,PHEV,True,35,53033021803
WVWKR7AU4J,WA,2018,VOLKSWAGEN,E-GOLF,BEV,True,125,53033027702
1FADP3R49H,WA,2017,FORD,FOCUS,BEV,True,100,53073010201
1GYKPMRKXP,WA,2023,CADILLAC,LYRIQ,BEV,False,0,53061052711
WP1AE2AY7N,WA,2022,PORSCHE,CAYENNE,PHEV,False,16,53053071902
JN1DF0CD2P,WA,2023,NISSAN,ARIYA,BEV,False,0,53033022902
KM8JBDD29R,WA,2024,HYUNDAI,TUCSON,PHEV,True,33,53033020800
KM8K33AG4N,CA,2022,HYUNDAI,KONA ELECTRIC,BEV,False,0,6095252102
5LMTJ5DZXN,WA,2022,LINCOLN,CORSAIR,PHEV,False,28,53011040905
WBY2Z2C53G,WA,2016,BMW,I8,PHEV,False,14,53067012332
WP1AH2AY2N,WA,2022,PORSCHE,CAYENNE,PHEV,False,14,53011042601
LVYBR0AL5L,WA,2020,VOLVO,S90,PHEV,False,21,53033032103
5YJXCBE44H,WA,2017,TESLA,MODEL X,BEV,True,200,53033025007
YV4H60DK8P,WA,2023,VOLVO,XC60,PHEV,True,35,53033002900
WBA33AG04N,WA,2022,BMW,530E,PHEV,False,18,53067011722
1G1RA6S54G,WA,2016,CHEVROLET,VOLT,PHEV,True,53,53033023100
WA1VABGEXN,WA,2022,AUDI,E-TRON,BEV,False,0,53061052107
W1KCG5FB3N,WA,2022,MERCEDES-BENZ,EQS-CLASS SEDAN,BEV,False,0,53033006300
5YJXCAE4XK,WA,2019,TESLA,MODEL X,BEV,True,289,53067012224
YV4BR0DK3L,WA,2020,VOLVO,XC60,PHEV,False,18,53053060700
W1KEG5DB3P,WA,2023,MERCEDES-BENZ,EQE-CLASS SEDAN,BEV,False,0,53061041901
WA1VABGE4P,WA,2023,AUDI,E-TRON,BEV,False,0,53053071416
JTJKKCFZ5N,WA,2022,LEXUS,NX,PHEV,True,37,53063013203
WBAJB1C08L,WA,2020,BMW,530E,PHEV,False,18,53011040303
KM8K53AG7K,WA,2019,HYUNDAI,KONA,BEV,True,258,53011043100
YV4H600A0P,WA,2023,VOLVO,XC90,PHEV,True,32,53011040610
5YJXCDE28G,WA,2016,TESLA,MODEL X,BEV,True,200,53053072504
KNDCE3LG2M,WA,2021,KIA,NIRO,BEV,False,0,53063010604
